iter	Passed	Remaining
645	17374	2689
646	17402	2662
647	17428	2635
648	17454	2608
649	17481	2581
650	17508	2554
651	17534	2527
652	17558	2500
653	17582	2473
654	17605	2445
655	17631	2418
656	17654	2391
657	17681	2364
658	17710	2338
659	17736	2311
660	17760	2283
661	17788	2257
662	17819	2230
663	17847	2204
664	17874	2177
665	17902	2150
666	17931	2123
667	17961	2097
668	17988	2070
669	18011	2043
670	18037	2016
671	18064	1989
672	18091	1962
673	18115	1935
674	18140	1908
675	18163	1880
676	18189	1853
677	18213	1826
678	18238	1799
679	18264	1772
680	18287	1745
681	18315	1718
682	18340	1691
683	18364	1664
684	18389	1637
685	18416	1610
686	18441	1583
687	18468	1556
688	18494	1530
689	18524	1503
690	18552	1476
691	18580	1449
692	18608	1423
693	18632	1396
694	18657	1369
695	18683	1342
696	18712	1315
697	18738	1288
698	18764	1261
699	18787	1234
700	18815	1207
701	18840	1180
702	18867	1154
703	18895	1127
704	18925	1100
705	18951	1073
706	18979	1046
707	19007	1020
708	19036	993
709	19063	966
710	19090	939
711	19116	912
712	19144	886
713	19172	859
714	19197	832
715	19223	805
716	19249	778
717	19275	751
718	19301	724
719	19330	698
720	19352	671
721	19376	644
722	19402	617
723	19428	590
724	19453	563
725	19480	536
726	19506	509
727	19533	482
728	19561	456
729	19586	429
730	19611	402
731	19635	375
732	19661	348
733	19685	321
734	19712	295
735	19736	268
736	19764	241
737	19791	214
738	19815	187
739	19842	160
740	19868	134
741	19892	107
742	19915	80
743	19945	53
744	19973	26
745	19997	0
